Monday 09 December 2019 17:29,1420.7.1560,release/1420 (commit hash : 0xE4D4BBB3)
Binding,ImageBlocks-dialogs,ImageBlocks-schemas,Master-schemas,Gui-dialogs,TrueTouch,PrintServer,ImageBlocks-unittest
EUdpSocket.New,1,0,0,0,0,0,0
EWeight.Format,0,0,0,0,1,0,0
Echo,0,0,0,0,0,1,0
EnableKeepAlive,0,0,0,0,0,1,0
ExceptionCVRLog,0,1,1,0,0,0,0
ExitPackingClassDialog,0,0,0,0,1,0,0
FS.CreateImageLoader,0,0,0,0,1,0,0
FS.ReadFile,0,0,0,0,1,0,0
FileServer.CurrentPackageUpdate,0,0,0,0,0,1,0
FileServer.Delete,0,0,0,0,0,1,0
FileServer.Event,0,0,0,0,0,1,0
FileServer.Exists,0,0,0,0,0,1,0
FileServer.GetFSObjectsFolder,0,0,0,0,0,1,0
FileServer.GetInfo,0,0,0,0,0,1,0
FileServer.List,0,0,0,0,0,1,0
FileServer.Load,0,0,0,0,0,1,0
FileServer.OnPackageLabelInfoReceived,0,0,0,0,0,1,0
FileServer.OnPackageLabelPrintReceived,0,0,0,0,0,1,0
FileServer.PackageFull,0,0,0,0,0,1,0
FileServer.RemoveStatus,0,0,0,0,0,1,0
FileServer.Rename,0,0,0,0,0,1,0
FileServer.Save,0,0,0,0,0,1,0
FileServer.SaveToFile,0,0,0,0,0,1,0
FileServer.SetStatus,0,0,0,0,0,1,0
GetClientStatus,0,0,0,0,0,1,0
GetFileServerIpAddress,0,0,0,0,1,0,0
GetIpAddress,0,0,0,0,1,0,0
GetLabelByFileName,0,0,0,0,0,1,0
GetLabelStatus,0,0,0,0,0,1,0
GetOneBased,0,0,0,0,0,1,0
GetPackageLabel,0,0,0,0,0,1,0
GetPrinter,0,0,0,0,0,1,0
GetPrinterDrivers,0,0,0,0,0,1,0
GetPrinterStatus,0,0,0,0,0,1,0
GetSettings,0,0,0,0,1,0,0
GetStatus,0,0,0,0,0,1,0
Http.CreateServer,0,0,0,0,1,1,0
ImageBlocksEnvironment.mEFG400Simulation.GetCupVideoResults,1,0,0,0,0,0,1
ImageBlocksEnvironment.mEFG400Simulation.GetProjectRoot,1,0,0,0,0,0,1
ImageBlocksEnvironment.mEFG400Simulation.GetReferenceSpectra,1,0,0,0,0,0,1
ImageBlocksEnvironment.mEFG400Simulation.GetSimulationCVRFileIndex,1,0,0,0,0,0,1
ImageBlocksEnvironment.mEFG400Simulation.GetSimulationCVRFileList,1,0,0,0,0,0,1
ImageBlocksEnvironment.mEFG400Simulation.GetSimulationCVRFileName,1,0,0,0,0,0,1
ImageBlocksEnvironment.mEFG400Simulation.GetSimulationFileName,1,0,0,0,0,0,1
ImageBlocksEnvironment.mEFG400Simulation.LoadSimProj,1,0,0,0,0,0,1
ImageBlocksEnvironment.mEFG400Simulation.RecalculateSchemas,1,0,0,0,0,0,1
ImageBlocksEnvironment.mEFG400Simulation.SelectCVRFile,1,0,0,0,0,0,1
ImageBlocksEnvironment.mEFG400Simulation.SetCupVideoResults,1,0,0,0,0,0,1
ImageBlocksInfo.GetProjectName,1,1,1,1,1,0,1
ImageRegion.AdjustHSV,1,1,1,1,0,0,1
ImageRegion.AverageColor,1,1,1,1,0,0,1
ImageRegion.AverageIntensity,1,1,1,1,0,0,1
ImageRegion.ConditionalFloodFill,1,1,0,1,0,0,1
ImageRegion.CorrectIntensityFromLowpass,1,1,1,1,0,0,1
ImageRegion.DistanceTransform,1,1,1,1,0,0,1
ImageRegion.DownSampleMedian,1,1,1,1,0,0,1
ImageRegion.DownSampleSNN,1,1,1,1,0,0,1
ImageRegion.FillSameColors,1,1,0,1,0,0,1
ImageRegion.FillSameColorsY8,1,1,1,1,0,0,1
ImageRegion.FlipRegionVertical,1,1,0,1,0,0,1
ImageRegion.GuiHSRainbow,1,1,0,1,0,0,1
ImageRegion.GuiHSVRainbow,1,1,0,1,0,0,1
ImageRegion.GuiHSVtoRGB,1,1,0,1,0,0,1
ImageRegion.GuiHVRainbow,1,1,0,1,0,0,1
ImageRegion.GuiRGBToCIELuv,1,1,0,1,0,0,1
ImageRegion.GuiRGBToHSV,1,1,0,1,0,0,1
ImageRegion.HSVPlanesHistogram,1,1,0,1,0,0,1
ImageRegion.HalfSize,1,1,1,1,0,0,1
ImageRegion.IntegralMaxLowpass,1,1,1,1,0,0,1
ImageRegion.IntensityAttributes,1,1,1,1,0,0,1
ImageRegion.NormalizeInt32ToY8,1,1,0,1,0,0,1
ImageRegion.RGB24ToH360S255V255,1,1,1,1,0,0,1
ImageRegion.ScaleImage,1,1,0,1,0,0,1
ImageRegion.ScaleIntensity,1,1,1,1,0,0,1
ImageRegion.SplitHSV,1,1,1,1,0,0,1
ImageRegion.ToS8V8,1,1,1,1,0,0,1
ImageblocksAutomation.Simulation.RecalculateNow,1,1,0,0,0,0,1
IncrementUndersScoreFileName,0,0,0,0,1,0,0
Json.Format,1,1,0,0,0,0,1
Json.JsonStringToTable,1,1,0,0,0,0,1
Json.TableToJsonString,1,1,0,0,0,0,1
KeepAlive,0,0,0,0,0,1,0
LOG,1,1,1,1,1,1,1
Language.GetCurrentLanguage,1,1,1,1,1,0,1
Language.LoadForCurrentFile,1,1,1,1,1,0,1
Language.LoadForFile,1,1,1,1,1,0,1
Language.LoadLanguageFile,1,1,1,1,1,0,1
Language.SetCurrentLanguage,1,1,1,1,1,0,1
LibTorchInference.ConstCast,1,1,0,0,0,0,1
LibTorchInference.IsValid,1,1,0,0,0,0,1
LibTorchInference.New,1,1,0,0,0,0,1
LoadResourceFromFileServer,0,0,0,0,1,0,0
LuaUdpDeeplearning.ConstCast,1,1,1,0,0,0,1
LuaUdpDeeplearning.GetTimeStamp,1,1,1,0,0,0,1
LuaUdpDeeplearning.IsValid,1,1,1,0,0,0,1
LuaUdpDeeplearning.New,1,1,1,0,0,0,1
MessageDialog,0,0,0,0,1,0,0
Messaging.Connect,0,0,0,0,1,1,0
Messaging.OnMessageReceived,0,0,0,0,1,1,0
Messaging.OnReplyReceived,0,0,0,0,1,1,0
Messaging.Print,0,0,0,0,1,1,0
Messaging.Register,0,0,0,0,1,1,0
Messaging.Reply,0,0,0,0,1,1,0
Messaging.Send,0,0,0,0,1,1,0
Messaging.StartServer,0,0,0,0,1,1,0
Messaging.StopServer,0,0,0,0,1,1,0
Messaging.outgoing.OnConnect,0,0,0,0,1,1,0
"Messaging.outgoing.connections.CLuaTextConnection, id 12, server 0, connected 1.connectFunc",0,0,0,0,1,0,0
Messaging.receiveFunctions.CurrentPackageUpdate,0,0,0,0,0,1,0
